"Dấu thời gian","Bạn hiện đang là học sinh lớp mấy?","Bạn đến từ miền nào? (Bao gồm các khu vực hải đảo tương ứng)","Bạn giỏi những môn nào trong những môn bạn dự tính thi THPTQG?","Bạn không giỏi những môn nào trong những môn bạn dự tính thi THPTQG?","Điểm trung bình trong lớp của bạn như thế nào ở học kỳ gần nhất?","Bạn dự định sẽ thi những tổ hợp nào? 
(Nếu chưa quyết định, em hãy điền tổ hợp mà em đang có xu hướng chọn cao nhất nhé.)","Bạn dự đoán điểm tổ hợp của bạn sẽ trong khoảng nào?","Mục đích bạn thi THPTQG là gì?","Giả sử bạn vừa biết điểm thi tốt nghiệp THPTQG, bạn muốn biết điều gì về kết quả của mình?","Ngoài những mong muốn trên, bạn còn khao khát điều gì khác khi cầm tờ kết quả trên tay? (Ví dụ: Muốn biết mình có thuộc Top 100 của tỉnh không, hay muốn so sánh điểm với bạn bè một cách ẩn danh...)  "
"2026/03/30 1:24:00 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn","Tiếng Anh","[8.0 - 9.0)","D","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn""",""
"2026/03/30 2:19:26 CH GMT+7","Lớp 12","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Ngữ văn;Lịch sử;Địa lý","Tiếng Anh","[7.0 - 8.0)","Khối C","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Phân tích phổ điểm;So sánh tổ hợp",""
"2026/03/30 4:18:40 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Sinh học","Vật lý;Hóa học","[9.0 - 10.0]","D1","[24 - 27)","Chỉ để xét tốt nghiệp THPT / Thi cho có","Xác suất ""an toàn""",""
"2026/03/30 4:42:21 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học","Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Công nghệ công nghiệp;Công nghệ nông nghiệp","[8.0 - 9.0)","D07, A01","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn""",""
"2026/03/30 4:53:15 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh","Vật lý;Tin học","[8.0 - 9.0)","D01","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/03/30 7:39:49 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích);Tiếng Anh","Vật lý;Hóa học;Sinh học","[8.0 - 9.0)","Toán, Văn, Anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm",""
"2026/03/30 8:09:04 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","","","[9.0 - 10.0]","A00, D07","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Thứ hạng ước tính;So sánh tổ hợp",""
"2026/03/30 10:01:48 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Lịch sử;Địa lý","Toán (Đại số / Giải tích)","[8.0 - 9.0)","Anh-Văn-Địa(tự chọn) ","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Không"
"2026/03/30 10:06:35 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Ngữ văn;Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học","[8.0 - 9.0)","D01","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn"";Phân tích phổ điểm",""
"2026/03/30 10:57:54 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Hóa học","Ngữ văn","[8.0 - 9.0)","d07","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối","top 1 trường"
"2026/03/30 11:59:47 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Vật lý","Hóa học","[6.0 - 7.0)","A00","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm",""
"2026/03/31 8:45:56 SA GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích);Ngữ văn","Vật lý;Sinh học","[8.0 - 9.0)","Toán Văn Anh","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/03/31 9:00:23 SA GMT+7","Lớp 12","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học","Ngữ văn;Tiếng Anh;Sinh học","[8.0 - 9.0)","A00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Thứ hạng ước tính;So sánh tổ hợp",""
"2026/04/01 10:45:20 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích);Ngữ văn","Tiếng Anh;Hóa học;Sinh học","[8.0 - 9.0)","Toán Văn Anh","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn""",""
"2026/04/02 8:07:12 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp;Công nghệ nông nghiệp;python","giỏi hết","Dưới 5.0","toán lý hoá sinh sử địa ","[27 - 30]","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 8:08:15 SA GMT+7","Lớp 10","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Ngữ văn;Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học;Sinh học","[9.0 - 10.0]","toán văn anh hoặc toán lý anh ạ","[18 - 21)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn"";Thứ hạng ước tính","muốn biết mình thuộc top bao nhiêu"
"2026/04/02 8:59:31 SA GMT+7","Lớp 12","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học","Toán (Hình học);Tiếng Anh","[8.0 - 9.0)","A01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 9:00:02 SA GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Hình học);Ngữ văn;Hóa học;Sinh học","Tiếng Anh;Địa lý;GDKT&PL (Hoặc GDCD)","[7.0 - 8.0)","B00","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính","Không"
"2026/04/02 9:01:24 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý","","[9.0 - 10.0]","A00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 9:02:39 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Hóa học;Sinh học","Toán (Đại số / Giải tích);Toán (Hình học)","Mình đang là học sinh lớp 10 nên chưa biết","B00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Phân tích phổ điểm","muốn biết mình có thuộc top không"
"2026/04/02 9:04:01 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Hóa học;Sinh học","Toán (Đại số / Giải tích)","Mình đang là học sinh lớp 10 nên chưa biết","Toán,Hoá,Sinh","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm","So sánh điểm với bạn bè một cách ẩn danh"
"2026/04/02 9:08:05 SA GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh","[9.0 - 10.0]","Toán, ngữ văn, tiếng anh","[27 - 30]","Khác","Xác suất ""an toàn""",""
"2026/04/02 10:08:31 SA GMT+7","Lớp 10","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Ngữ văn;Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học;Sinh học","[8.0 - 9.0)","toán văn anh hoặc toán lý anh","[18 - 21)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn"";Thứ hạng ước tính","muốn biết mình top mấy"
"2026/04/02 10:44:08 SA GMT+7","Thầy cô","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","","","Khác (Cha mẹ, thầy cô,...)","GV","Khác","Khác","Phân tích phổ điểm;So sánh tổ hợp","Lớp chủ nhiệm đậu 100%"
"2026/04/02 10:44:52 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Lịch sử","Toán (Hình học)","[7.0 - 8.0)","Văn Toán Sử","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""","So sánh điểm với bạn bè"
"2026/04/02 10:45:31 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Địa lý","Vật lý;Hóa học;Sinh học","Mình đang là học sinh lớp 10 nên chưa biết","Toán Văn Sử Địa","Khác","Khác","Vị thế tương đối","mình muốn vào được trường mình mong muốn "
"2026/04/02 10:46:08 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Lịch sử;Địa lý","Ngữ văn;Lịch sử","[8.0 - 9.0)","Toán văn anh","[18 - 21)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn"";So sánh tổ hợp","Mình muốn đưa ba mẹ xem "
"2026/04/02 10:46:45 SA GMT+7","Lớp 10","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Tiếng Anh;Địa lý","Vật lý;GDKT&PL (Hoặc GDCD);Tin học","Mình ngại lắm / Không muốn trả lời","Tổ hợp D01: toán-văn- tiếng anh","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Em Không muốn trả lời ạ..."
"2026/04/02 10:46:47 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Lịch sử;Địa lý","Vật lý;Hóa học;Sinh học;Tin học","Mình đang là học sinh lớp 10 nên chưa biết","toán văn sử địa","Khác","Khác","Vị thế tương đối","đạt được mục tiêu mình muốn"
"2026/04/02 10:55:42 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn","Toán (Đại số / Giải tích)","[5.0 - 6.0)","Văn sử địa","[21 - 24)","Khác","Xác suất ""an toàn""","Có đủ điểm đậu không"
"2026/04/02 11:10:19 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Lịch sử;Tin học","Toán (Hình học);Hóa học;Địa lý","[8.0 - 9.0)","A00","[27 - 30]","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""",""
"2026/04/02 11:14:41 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","[8.0 - 9.0)","A01","[27 - 30]","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""","Dự đoán có đậu nv1 hay kh^^"
"2026/04/02 11:14:58 SA GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học","","[8.0 - 9.0)","A00","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Phân tích phổ điểm",""
"2026/04/02 11:15:28 SA GMT+7","Thí sinh tự do","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Hóa học","Toán (Đại số / Giải tích)","Mình đang là học sinh lớp 10 nên chưa biết","Toán Lý Hoá","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối",""
"2026/04/02 11:15:48 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Hóa học","Vật lý","Mình đang là học sinh lớp 10 nên chưa biết","Toán-Lý-Hoá","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm","muon đỗ nv1😭"
"2026/04/02 11:16:26 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Hóa học","Toán (Đại số / Giải tích)","Mình đang là học sinh lớp 10 nên chưa biết","toán Lý Hoá","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối",""
"2026/04/02 11:20:40 SA GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh","[7.0 - 8.0)","C00","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";So sánh tổ hợp",""
"2026/04/02 11:22:16 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học)","Tiếng Anh","[9.0 - 10.0]",".","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối","."
"2026/04/02 11:23:01 SA GMT+7","Lớp 10","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Hình học);Hóa học;Sinh học","Toán (Hình học);Vật lý;Tin học","Mình ngại lắm / Không muốn trả lời","B00 (Toán,Hoá,Sinh)","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;",""
"2026/04/02 11:28:19 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn","Tiếng Anh","[7.0 - 8.0)","C00","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính",""
"2026/04/02 11:28:23 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Hóa học;Sinh học","Toán (Đại số / Giải tích);Toán (Hình học);Hóa học;Lịch sử","Mình đang là học sinh lớp 10 nên chưa biết","B","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Ngủ "
"2026/04/02 11:28:40 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn","Vật lý","Mình ngại lắm / Không muốn trả lời","D01","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Thứ hạng ước tính",""
"2026/04/02 11:28:56 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý","Mình đang là học sinh lớp 10 nên chưa biết","toán lý anh","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 11:29:16 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh;Vật lý;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD)","Tiếng Anh","[6.0 - 7.0)","Hg bít","Khác","Khác","Xác suất ""an toàn"";Thứ hạng ước tính",""
"2026/04/02 11:29:28 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học)","Tiếng Anh","Mình đang là học sinh lớp 10 nên chưa biết","Toán-Lý-Anh","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm",""
"2026/04/02 11:29:51 SA GMT+7","Thí sinh tự do","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Hóa học","Ngữ văn;GDKT&PL (Hoặc GDCD);Tin học","Mình đang là học sinh lớp 10 nên chưa biết","toán, anh, hoá","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""",""
"2026/04/02 11:29:52 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Hóa học;Tin học","Toán (Đại số / Giải tích);Ngữ văn;Vật lý;Sinh học","[8.0 - 9.0)","toán lý anh","[21 - 24)","Khác","Xác suất ""an toàn""","vào được sư phạm anh văn"
"2026/04/02 11:30:13 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Sinh học","Vật lý;Hóa học","[9.0 - 10.0]","D01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Phân tích phổ điểm",""
"2026/04/02 11:30:27 SA GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh;Địa lý","Toán (Đại số / Giải tích)","[8.0 - 9.0)","D01, D15","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","không"
"2026/04/02 11:30:43 SA GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Lịch sử","Toán (Đại số / Giải tích);Toán (Hình học)","[7.0 - 8.0)","D14","[21 - 24)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""","Không"
"2026/04/02 11:30:49 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn","Toán (Hình học)","[6.0 - 7.0)","C00","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 11:30:57 SA GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Vật lý","Toán (Đại số / Giải tích);Toán (Hình học)","Khác (Cha mẹ, thầy cô,...)","A01","Khác","Khác","Xác suất ""an toàn"";Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 11:31:28 SA GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh;Địa lý","Toán (Đại số / Giải tích)","[8.0 - 9.0)","D01,D15","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","không "
